gene,id,z
BYSL,308,-10.289559
COL23A1,8242,-10.255125
VPS37D,9061,-10.250691
NSFL1C,6500,-10.20965
PCDH19,6765,-10.196826
DPYSL3,737,-10.188326
RSPH9,9345,-10.186181
TCEA3,2770,-10.184379
KCNA5,1445,-10.163609
NOL4,3327,-10.126567
LMO3,6478,-10.094407
LYPD8,9959,-10.076899
VAV1,2969,-10.060552
SNX7,5721,-10.051757
CGREF1,4275,-10.037175
RTN4RL2,9696,-10.035136
ANO3,6997,-10.032714
NKD2,8104,-10.023315
F12,886,-10.013047
KCNMB4,5352,-10.009837
TSPAN33,9639,-10.004953
CPNE6,3598,-9.974433
NEUROD6,6995,-9.970958
POLE4,6556,-9.968715
DNAH5,718,-9.968001
FAM102B,9533,-9.955627
NEK2,1806,-9.9461
RILPL2,9197,-9.945836
HRH1,1282,-9.937981
NECAB2,5960,-9.936259
GMFG,3688,-9.907533
PGM2L1,9476,-9.889732
CFD,689,-9.886598
FSTL5,6572,-9.882341
SLN,2619,-9.867049
ANKRD6,4611,-9.860768
NTSR1,1881,-9.828909
CIB2,4192,-9.82
CALM3,353,-9.733756
GABRB1,998,-9.724696
LRRC73,9346,-9.711174
NKAIN4,8702,-9.709732
SPON2,4135,-9.709203
C1orf50,7246,-9.707936
CACNA1H,3418,-9.688191
ADAMTS3,3668,-9.656453
MANEAL,8961,-9.650418
TMEM159,6663,-9.638831
GPR68,3135,-9.612245
GRIA1,1130,-9.601757
FZD1,3175,-9.596906
CAMK1G,6674,-9.569962
DOK6,9317,-9.562082
HDC,1214,-9.532073
TOM1L1,3942,-9.522079
TDRD9,8592,-9.508172
SULF2,6497,-9.49235
DDRGK1,7194,-9.47551
HSD11B1L,9718,-9.404494
SLC4A3,2579,-9.400194
ADRA1B,67,-9.395153
NPY1R,1867,-9.383458
PRKCG,2172,-9.373056
BCKDK,4081,-9.321869
CAMK2D,358,-9.320267
ATOH7,9318,-9.315314
RAP2B,2338,-9.295346
LRRC36,6250,-9.217872
WFDC1,6887,-9.209915
MEA1,1642,-9.189382
FABP7,892,-9.185702
WDR66,8884,-9.139564
DAPL1,8282,-9.126734
AP3S1,515,-9.098267
HES4,6876,-9.096608
CYP46A1,4344,-9.092827
FDX1L,8388,-9.089322
OSR1,8734,-9.0888
FKBP1B,940,-9.078196
TNNT1,2867,-9.034013
DOC2B,3207,-9.001046
CNIH2,9399,-8.992945
VIT,2009,-8.991996
PRR5,6345,-8.983965
CXorf57,6145,-8.982501
RASAL1,3200,-8.94369
GSS,1166,-8.934417
CCDC68,7574,-8.912366
CPAMD8,5300,-8.909248
LRRC3B,8502,-8.908085
LDHD,9210,-8.902634
ST6GALNAC5,7691,-8.884072
TMEM263,8186,-8.883062
SCGN,4233,-8.861517
ME3,4352,-8.818526
TUBB,9269,-8.799486
NBAS,5789,-8.785287
GLRA3,3118,-8.784446
CCBE1,8926,-8.754504
E2F3,764,-8.752024
DPF1,3145,-8.751524
NT5DC2,7145,-8.734664
CIB1,4193,-8.73365
RIC8A,6962,-8.706658
RAB3C,8493,-8.695956
ENOX1,6134,-8.683275
TRAPPC2L,5821,-8.681259
B4GALT2,3323,-8.663767
GULP1,5750,-8.663381
AKIRIN2,6165,-8.642081
PCED1B,8243,-8.633403
SH3RF1,6823,-8.629526
C8orf46,9406,-8.609395
DYRK3,3204,-8.601045
ARHGAP4,174,-8.592569
GRID2,1135,-8.577076
NT5DC3,5778,-8.565364
WNT10B,3003,-8.546708
SH3BGRL3,7704,-8.538633
FADS3,1551,-8.523627
ACTA1,28,-8.46033
LOC642852,9937,-8.455686
OR14I1,9853,-8.439165
PYDC1,9457,-8.426959
RRP7BP,8261,-8.403203
MOB1B,8304,-8.390374
SEMA6B,4185,-8.373633
SST,2698,-8.369027
CHMP1A,1956,-8.356369
LOC100288911,10018,-8.354557
KLK5,5043,-8.350594
CDH8,440,-8.345832
SVOP,6315,-8.340618
EMID1,8712,-8.334068
GRP,1158,-8.323894
C20orf27,6092,-8.323664
DYRK2,3205,-8.299241
CHMP4A,5404,-8.298947
TMEM108,7198,-8.292426
CETN2,473,-8.285692
TTPAL,7285,-8.27134
ARHGAP28,7416,-8.266893
RASL11B,7195,-8.247319
KIF21B,4690,-8.218393
CAPN12,8937,-8.207085
SH2D5,9834,-8.192901
FGD3,8141,-8.170225
RPH3AL,3666,-8.165328
TAC1,2740,-8.150931
TXNL4A,4370,-8.149981
SLC35F2,5992,-8.144488
ACTC1,30,-8.144398
SLA,2575,-8.136511
LRRN2,4154,-8.130766
NUDT11,6199,-8.12541
FABP3,889,-8.107215
TNFAIP8L1,8655,-8.10171
TPM3,2882,-8.100598
NWD2,6749,-8.096062
TUBB4B,4118,-8.091101
CENPF,472,-8.089286
RFK,6261,-8.030288
LUZP2,9610,-8.023797
MT1F,1712,-8.012371
KIAA1024,4789,-8.007651
TRIM27,2377,-7.991752
TSTA3,2910,-7.983378
PNPLA3,7584,-7.981473
RS1,2484,-7.97399
CNR1,542,-7.964162
CEBPA,465,-7.956004
FZR1,5712,-7.948699
DDX10,686,-7.939604
DTNB,748,-7.938072
MAGIX,7459,-7.919967
ALPL,113,-7.895045
DNAH2,8914,-7.883612
CALB1,349,-7.88099
LY86-AS1,9577,-7.873832
MRPL28,4222,-7.872596
SYT10,9654,-7.863799
KCNN2,1474,-7.845342
ARHGAP25,3897,-7.83926
GPR88,5892,-7.838004
EFHC2,7555,-7.826164
DDAH1,4950,-7.825947
TIMM10,5227,-7.820945
CBLN2,8927,-7.805219
LRRC2,7293,-7.801294
LRRTM4,7503,-7.792857
TMEM164,7837,-7.784881
HRAS,1280,-7.775337
ABCC12,8365,-7.774569
CREM,587,-7.773858
GNG2,5902,-7.750963
IFI27L2,7788,-7.745792
CBLN1,384,-7.74453
MAPK3,2184,-7.724069
CNTN1,544,-7.710913
HRASLS,6650,-7.706242
ARL16,9616,-7.705243
TNNI3,2866,-7.697684
SLC22A18,1908,-7.686308
GSKIP,5768,-7.665117
FAM174B,9829,-7.664917
ASB2,5819,-7.648625
SRRD,9854,-7.647097
TDRKH,4425,-7.641377
GDA,3725,-7.640329
NECTIN3,5097,-7.634278
LSM4,5036,-7.623756
ADTRP,8007,-7.617322
GNB4,6931,-7.615552
NEURL1B,5934,-7.612274
TMEM150C,9887,-7.605373
C2orf80,9793,-7.603846
FAM71F1,7975,-7.598381
MRPL37,5666,-7.588885
OPRM1,1905,-7.58302
GMIP,5682,-7.571783
FXYD6,5870,-7.564703
GRB14,1128,-7.561461
ASB6,8834,-7.559869
HES5,9779,-7.554514
PMM1,2083,-7.549573
NUTF2,4033,-7.520561
TCERG1L,9437,-7.518202
UFC1,5764,-7.512178
TGFBI,2812,-7.503551
RTL8C,3424,-7.475618
DISP2,8120,-7.471469
FARP1,4011,-7.470947
DNAJA4,6303,-7.399601
GPNMB,4161,-7.390235
MED16,3937,-7.380663
TRIB1,4045,-7.378732
GRASP,9097,-7.371638
CA10,6595,-7.363383
HDAC9,3791,-7.360459
SPACA9,4449,-7.357314
SERTM1,9827,-7.355409
AP2A2,77,-7.34367
MT1G,1713,-7.334478
FDPS,917,-7.331463
FOXF2,945,-7.329671
CACNG3,4111,-7.327831
ME1,1641,-7.31783
EIF6,1419,-7.313842
PRKCB,2169,-7.311339
TMEM200A,8445,-7.304607
TMEM158,5080,-7.304205
TMEM54,8407,-7.301759
DCTPP1,7245,-7.300107
SIDT1,6029,-7.293224
CEP83,5618,-7.290734
DCUN1D5,7866,-7.288767
ST5,2702,-7.281385
GALNT17,7065,-7.275112
SOX11,2663,-7.27068
VAT1,4180,-7.269774
ATP6V0D1,3492,-7.267586
HPCAL4,5745,-7.261167
SEMA4F,4186,-7.251474
KRT31,1506,-7.241974
NMU,4353,-7.232584
TXN,2923,-7.226064
GRM1,1149,-7.220795
NOP16,5758,-7.21985
NLE1,5929,-7.191606
RIT2,2395,-7.174107
BTNL9,9038,-7.170772
LSAMP,1570,-7.164607
RNF175,9565,-7.157643
KIAA1549,6841,-7.150159
GPRIN1,8435,-7.148549
SPATC1L,7848,-7.144508
COG1,3611,-7.142532
ZNF226,3070,-7.134767
AP3M2,4388,-7.133756
COMTD1,8564,-7.13061
DGKB,660,-7.115945
TUBB2A,2916,-7.113837
YBX2,5589,-7.109468
GAP43,1018,-7.102801
NFKBIE,1826,-7.097755
ASGR2,192,-7.093436
ACOT8,3926,-7.089484
VAT1L,6847,-7.077613
TMEM176A,6293,-7.076099
DDA1,7220,-7.069827
ADM5,9220,-7.067385
GABRA2,994,-7.058253
SEZ6L,4937,-7.056215
SLC1A4,2580,-7.046682
MEDAG,8051,-7.043807
FAM19A1,9865,-7.034329
WTIP,8659,-7.033684
KLK10,2217,-7.025234
CCDC110,9431,-7.022734
MGST1,1667,-7.018586
SIL1,7056,-7.008856
NGB,6886,-7.008289
SPHKAP,7568,-7.004414
B3GNT4,7291,-6.994675
COL21A1,7659,-6.991126
BOP1,4787,-6.98117
STX1A,2715,-6.965062
DNAH14,8685,-6.964603
RAVER2,6220,-6.957189
DHDH,5332,-6.954901
FBXO2,5196,-6.950095
KLF8,4541,-6.9315
CCDC24,8966,-6.928886
RNF150,6745,-6.91814
LCMT1,5749,-6.907867
MEPE,6608,-6.906576
RAPGEF4,4443,-6.906341
PSMB7,2231,-6.897239
PTPRF,2279,-6.887693
ATP6V1C1,228,-6.874854
RIOX2,8012,-6.862778
STYK1,6290,-6.861729
AHNAK2,8396,-6.857443
ASS1,197,-6.857021
EXOC6,5953,-6.845778
PPID,2124,-6.839383
NUDT18,7437,-6.82743
CDH9,441,-6.824593
BAD,247,-6.821009
TLDC1,6859,-6.818446
C1S,315,-6.807549
BPHL,296,-6.796868
PYGL,2305,-6.792635
RAPH1,7161,-6.785149
ALKAL2,9541,-6.778775
CTXN3,9927,-6.760007
GRAMD4,4735,-6.742393
CYB561,644,-6.729408
NETO2,7685,-6.713627
GBA,1027,-6.711787
MPP6,5820,-6.702623
EHBP1L1,9397,-6.69548
KCNG3,9180,-6.684
PRMT6,6185,-6.676377
GOLT1A,8691,-6.672717
GMFB,1070,-6.669476
CORO1A,4479,-6.666084
DUSP3,755,-6.66555
GGN,9218,-6.661416
PRRX1,2090,-6.657721
OVOL2,6904,-6.642302
NKAIN3,9589,-6.641679
SHC2,5021,-6.634528
PTGER4,2258,-6.624798
CDH4,437,-6.614494
PCDH8,1949,-6.613745
ARPC2,3984,-6.611242
PAX6,1939,-6.609418
EXD3,6068,-6.602984
DOC2A,3208,-6.601597
LAMA1,9515,-6.600545
NMT1,1844,-6.593218
NAGK,6330,-6.579301
OLFM3,8552,-6.565356
PNPLA4,3154,-6.562961
SYT4,2738,-6.558915
MYADM,8256,-6.557744
SNCG,2641,-6.554587
PLXNC1,4008,-6.550576
HCST,4351,-6.538264
JMJD4,7167,-6.52313
SHISAL1,8094,-6.507475
PCDH17,5324,-6.502384
RTBDN,7719,-6.49768
FAM49A,7642,-6.49701
BAIAP2L2,7509,-6.490818
CRYM,601,-6.481422
PRAF2,4517,-6.480549
PID1,6116,-6.476019
GOSR2,3703,-6.475504
AP2S1,514,-6.475331
ZCCHC12,9170,-6.464988
UHMK1,8692,-6.463523
TSPAN18,8162,-6.460311
FAM207A,8101,-6.459784
CDC34,432,-6.455728
RABIF,2318,-6.442796
FLOT2,954,-6.436313
MYL5,1749,-6.435817
COPS4,5620,-6.433123
RAB35,4424,-6.430745
RTN4RL1,8915,-6.427393
BCR,268,-6.423339
CNTN6,5326,-6.422834
SLC39A12,9334,-6.416383
NAXE,8697,-6.401215
GPRIN2,3783,-6.392705
GAL,5586,-6.375463
ANKLE2,4730,-6.374162
EFNB2,792,-6.366579
MRTO4,5627,-6.364843
FAM171B,9141,-6.341577
PRELP,2155,-6.340137
ISYNA1,5755,-6.339654
SPATA20,7124,-6.3348
RUNDC3A,4364,-6.318613
KIF17,6794,-6.317683
DLL3,4283,-6.31649
LAMB1,1516,-6.309105
B3GALT6,8671,-6.309067
CCDC3,7732,-6.308545
WDR54,7799,-6.308322
P2RY12,7118,-6.306253
SUB1,4376,-6.2987
MYL12B,8374,-6.270607
RCN1,2361,-6.264014
TMEM176B,5374,-6.258468
BSPRY,6023,-6.258407
CORT,568,-6.257152
ZNF544,5335,-6.243918
DEAF1,4195,-6.242273
SNHG8,9991,-6.236145
PKP3,4502,-6.234193
ARL15,5974,-6.232635
PRMT2,1285,-6.232604
PYCR1,2302,-6.229861
ORC4,1907,-6.226167
PERM1,8000,-6.215476
FAM47E,10001,-6.209843
MRAS,4573,-6.209731
LYN,1581,-6.202994
TBC1D10A,7772,-6.202449
SCPEP1,6930,-6.198307
NNAT,1839,-6.187391
MRM3,6192,-6.185266
DMWD,716,-6.179666
P2RY13,5873,-6.175622
YJEFN3,9719,-6.17481
MCTS1,5386,-6.17321
SPRY4,7690,-6.171493
PSORS1C1,9178,-6.169116
TLN2,7737,-6.169103
GDPGP1,9813,-6.161557
FAM129B,7130,-6.15353
RGS4,2388,-6.15315
SBF1,2508,-6.152686
GLRA2,1063,-6.150643
MAOB,1605,-6.137901
PCSK5,1959,-6.127747
STK32C,9468,-6.123852
ABLIM3,4615,-6.122066
LGALS1,1534,-6.11863
GPX3,1125,-6.115601
FHOD1,5420,-6.114658
PTRH1,8822,-6.111338
C9orf116,8819,-6.109988
MECR,5600,-6.109717
NME7,5465,-6.10923
COL5A2,550,-6.107914
POR,2106,-6.103663
CRLF1,3543,-6.09265
HMGCR,1255,-6.089054
SERPINI2,2034,-6.078236
CMTM8,9019,-6.078067
MON1A,7900,-6.077497
CHID1,7200,-6.072776
CNTNAP3,7467,-6.072099
IGSF22,9482,-6.066226
GPR143,1886,-6.063093
ATP2B4,216,-6.058739
STK17A,3555,-6.055836
LGI4,9126,-6.051286
RITA1,8050,-6.040828
NUPR1,5219,-6.038615
GNG3,1084,-6.035549
SLC17A7,6633,-6.028343
NRP1,3376,-6.02492
RRAS2,4569,-6.024834
MCUR1,6988,-6.023688
PRRT1,7624,-6.02296
UCHL3,2944,-6.021191
AQP9,160,-6.00579
CYP26A1,652,-6.005772
ACSL4,898,-6.004667
TVP23A,9990,-6.000404
IGF1,1348,-6.000078
PEA15,3318,-5.997454
P2RX5,1916,-5.994606
SFTA1P,9289,-5.982396
GPR26,1113,-5.971061
CAMKV,7219,-5.97068
VOPP1,7641,-5.966568
DCTN3,4531,-5.963483
PXMP4,4534,-5.962443
TRIB3,6871,-5.957209
CARTPT,3721,-5.956622
CNIH3,8960,-5.955521
TMTC1,7766,-5.952475
FOLR2,967,-5.950366
CLPB,7653,-5.949611
ZRANB3,7811,-5.948349
COPRS,6286,-5.944604
LGALS2,1535,-5.929346
ZNF239,3143,-5.927652
SYT5,2739,-5.924453
NIP7,5727,-5.924303
SHC1,2560,-5.922413
SPATA33,8622,-5.922381
MAN1A1,1598,-5.920577
KCNN3,1475,-5.920187
S100A6,2496,-5.919592
KCNH5,5295,-5.917639
DUSP6,757,-5.914843
HCN4,3935,-5.914129
HRK,3339,-5.912199
FUOM,9466,-5.91064
FGGY,6246,-5.908494
EPOP,10013,-5.903547
YWHAH,3011,-5.903027
CDH13,445,-5.90223
INAFM1,9423,-5.891835
TMEFF2,4988,-5.889871
MPI,1695,-5.874576
JPT1,5628,-5.873495
MAP6,1610,-5.873493
MAN1B1,4528,-5.867309
PIN1,2046,-5.866306
RGS20,3275,-5.854331
FAM184A,7330,-5.847862
TMEM65,9063,-5.847204
KCNK3,1470,-5.836905
CASQ1,376,-5.828457
FBXL2,5048,-5.825609
TIMP4,2834,-5.81707
SPRY1,4064,-5.809287
SLC26A4,1990,-5.796186
MYO16,4680,-5.79273
RBM8A,3898,-5.790913
CDH10,442,-5.790512
GLDC,1060,-5.784817
ANKRD50,6680,-5.784549
MPV17L2,7992,-5.784417
CD63,422,-5.783363
DNAJC30,7879,-5.778865
CDH11,443,-5.776276
ELL3,7551,-5.776
NDUFAF8,9513,-5.774906
KLHDC8A,6217,-5.770682
C3orf14,6720,-5.76185
ZNRF1,8053,-5.760752
MFSD12,8658,-5.760726
LIMD2,7604,-5.755205
SUSD4,6130,-5.749444
CA4,330,-5.742552
EPHX1,847,-5.740792
OTUB2,7208,-5.736993
SLC39A10,6679,-5.731536
PTPRA,2274,-5.717178
C1QB,312,-5.712891
ERI3,7227,-5.711236
FAM160A2,7805,-5.70696
NAA30,8601,-5.704355
PAFAH1B3,1925,-5.703866
MKL2,6750,-5.700825
CHST15,5716,-5.691314
BLOC1S6,5200,-5.690005
VWCE,9312,-5.689497
CSF1R,606,-5.688154
RNF43,6049,-5.67229
CDKL5,2711,-5.669807
PCDH15,7174,-5.667545
ERCC2,858,-5.659198
RNF24,4521,-5.655243
MYOM2,3516,-5.65466
TM7SF2,2854,-5.652528
TTC9B,8939,-5.651443
C12orf45,8581,-5.650344
NUDT10,9179,-5.648805
GTF2H5,9864,-5.644659
GPR34,1116,-5.642802
FBXW9,7868,-5.640742
HTR1A,1311,-5.639964
RNASET2,3294,-5.629695
HGF,1219,-5.629068
IL13RA2,1371,-5.622597
CPNE8,8882,-5.617876
YTHDF2,5746,-5.617271
SYN2,2734,-5.612649
HSPB1,1301,-5.60846
ATG4B,4757,-5.595778
KCNB2,3571,-5.586484
CBFA2T3,382,-5.584725
DHRS2,4031,-5.575913
RIPK2,3349,-5.569445
EDNRB,779,-5.566324
PLD3,4983,-5.565136
IL33,8210,-5.558182
KLHL25,7066,-5.553312
PDE4DIP,3752,-5.545398
PYCR3,7179,-5.545221
SUSD1,7071,-5.543626
SNCA,2640,-5.541136
CDT1,7671,-5.538763
MPND,8064,-5.536175
RARS,2342,-5.529916
ARMC10,7759,-5.521678
DENND6B,9869,-5.520683
NPTXR,4903,-5.51884
CERS6,9392,-5.517299
OAZ2,1892,-5.515546
SMIM29,9350,-5.513003
ZNF706,5610,-5.512514
DIAPH3,7673,-5.511699
DYNC1I1,725,-5.511238
GNPTAB,7277,-5.509915
NDST3,3591,-5.505096
PALM,1933,-5.503923
CENPP,9847,-5.501169
LSP1,1571,-5.499307
NOL4L,8842,-5.496761
PCDH10,6793,-5.496319
RIMBP2,4916,-5.492115
CCNH,398,-5.491575
ABHD12B,8892,-5.489166
DIO2,702,-5.489084
LOR,1558,-5.483725
SKAP1,3291,-5.483549
ROBO2,2407,-5.479482
ASB1,5813,-5.469819
MVD,1731,-5.465031
LRSAM1,8199,-5.459922
MRPS11,7148,-5.459514
SLC19A1,2609,-5.455882
ACOX3,3171,-5.450718
FZD2,983,-5.447623
NANOS1,9651,-5.447423
FUT9,4285,-5.443932
PLCH1,4669,-5.442694
CAPNS1,365,-5.436051
TMEM117,7845,-5.42911
TFRC,2807,-5.424458
TTLL1,5038,-5.42415
CABYR,5199,-5.422645
ARPP19,4314,-5.416203
LST1,3107,-5.404479
GDF10,1037,-5.404008
C6orf118,9160,-5.402672
ERICH1,9069,-5.397914
CCNA1,3411,-5.397908
ZDHHC12,8025,-5.397706
SNAPC5,4085,-5.391487
LRRC61,7197,-5.388758
LDHA,1529,-5.388301
TIMP1,2831,-5.386324
LRRC56,8482,-5.376091
AP3B2,3136,-5.372617
ADCY2,49,-5.36969
TM2D3,7538,-5.369657
CLEC4G,9620,-5.366557
GGTA1P,1047,-5.366286
DUSP2,754,-5.364246
PDGFRA,1977,-5.359526
MT1E,1711,-5.359465
ARPC5,3972,-5.359442
CROT,5984,-5.35903
SUMO3,2632,-5.358382
TG,2808,-5.357338
TRAPPC9,7744,-5.356756
KCTD15,7234,-5.350436
OST4,9996,-5.348249
CTNND2,628,-5.347864
PELO,5877,-5.333589
VEZT,6335,-5.331437
SARNP,7904,-5.316288
HEYL,5224,-5.304522
C2orf40,7912,-5.303538
SLC30A3,3075,-5.30217
LTBP4,3197,-5.300896
PAMR1,5072,-5.29695
MDGA1,9462,-5.288774
ARHGAP20,6790,-5.279359
TYRO3,2926,-5.278923
TUBA4A,2915,-5.278066
ZCCHC17,5774,-5.269677
ZNF229,3072,-5.268857
ETFB,865,-5.266734
ACADL,15,-5.264011
CCDC85A,8444,-5.259653
STK25,4181,-5.250147
PHF24,4842,-5.250092
FKBP1A,939,-5.24843
CNGB1,536,-5.243917
GNB2,1082,-5.240577
PDGFC,6505,-5.240042
KCNJ12,1465,-5.233386
PDGFB,1976,-5.230538
WWC1,4808,-5.229748
SERPINF1,1993,-5.22573
SCO2,3922,-5.223878
B4GALNT1,1011,-5.216041
CDKN2D,457,-5.215443
CCND2,394,-5.214508
TENM3,6395,-5.211707
DYNLL1,3305,-5.207173
MORN4,8562,-5.204715
SSC4D,8807,-5.204601
HKDC1,7532,-5.200148
C4orf45,9031,-5.197407
CHST8,7058,-5.191826
HPCA,1272,-5.190783
DMAC1,8211,-5.188704
SYNGR3,3507,-5.18787
TMEM234,6508,-5.186659
THRB,2825,-5.183932
SCUBE2,6870,-5.176565
ACKR3,6629,-5.175938
INPP4A,1387,-5.174282
CD53,419,-5.1653
HIST1H2BK,8089,-5.163826
MRC1,1701,-5.160492
SYP,2735,-5.160169
NEDD4L,4829,-5.156234
LINC00900,9473,-5.150474
TAF9B,5796,-5.15006
PDE2A,1964,-5.142259
MUCL1,8554,-5.130113
CDIPT,4141,-5.128754
ASH2L,3478,-5.125488
CREB3L3,7979,-5.120784
POP4,4313,-5.118329
PSMC1,2235,-5.114094
ZMYND10,5717,-5.113129
ARRDC1,8312,-5.108609
TSPAN2,3979,-5.107502
SCN7A,2519,-5.107337
ATP2C2,3884,-5.094315
PCBP3,5885,-5.088352
SDC3,3761,-5.084214
AP1M1,3414,-5.083901
FZD8,3179,-5.081614
FBXO44,8347,-5.077611
GALNTL5,9161,-5.074769
FARSA,905,-5.068721
FAM213B,8681,-5.062804
TMEM130,9374,-5.061221
RAB11A,3348,-5.05944
CYB5D2,8640,-5.054044
FOXRED2,7493,-5.049924
MAPK11,2188,-5.049866
KRT86,1508,-5.047132
TM6SF1,5858,-5.045744
COL5A3,5523,-5.029759
PPP1R14C,7682,-5.029301
ASL,193,-5.025603
SNX10,5449,-5.021578
ADAMTS9,6625,-5.01638
CA11,333,-5.016285
PTRH2,5807,-5.015514
LRRN1,6825,-5.014995
GCNT1,1035,-5.014611
CDKN2AIPNL,8233,-5.009544
PLCB2,2060,-5.004325
OBSCN,7796,-5.002093
CHST1,3248,-5.001194
GRK6,1121,-4.993695
BDNF,271,-4.993032
SAMD15,9104,-4.984721
MT1X,1717,-4.981427
SMYD3,7090,-4.980834
PITPNB,5002,-4.978429
KLHL29,8450,-4.973665
WDR77,7248,-4.970974
METTL1,1657,-4.966644
C9orf16,7256,-4.96412
HSBP1,1287,-4.959968
DUSP27,8283,-4.959364
ECHDC3,7387,-4.952895
STBD1,3442,-4.952631
ARFGEF3,6698,-4.950659
CPNE5,6854,-4.947402
ANKRD55,7377,-4.942609
VPS26B,8391,-4.942354
CD24,10011,-4.936786
TYW5,8715,-4.933374
SYNPR,8765,-4.932999
RSPH1,8134,-4.925671
CCT7,4223,-4.924811
TNFRSF14,3347,-4.924796
B3GNTL1,8913,-4.908401
GSTM3,1170,-4.906968
NKAIN2,9048,-4.906525
MED8,8393,-4.906099
PPP5C,2151,-4.905905
FHL3,938,-4.898785
MMAB,9606,-4.897691
MYB,1736,-4.895501
CDC42EP4,4951,-4.892774
BAG2,3685,-4.888738
ADAMTS19,9183,-4.881617
ISG15,3733,-4.868769
TPI1,2879,-4.868707
LCP2,1528,-4.862669
SELENON,6686,-4.861779
RHEBL1,8585,-4.860359
SMAD2,1588,-4.859561
RIMS1,4665,-4.857147
PLCH2,3744,-4.85513
PRDX5,5046,-4.855064
SKIV2L,2573,-4.855048
PPARG,2117,-4.853927
TBCD,2764,-4.85295
CARMIL3,8197,-4.8517
GRM8,1155,-4.850478
MTA3,6754,-4.846541
ADGRB3,251,-4.845109
PDLIM3,5333,-4.844874
FAM241B,9303,-4.84093
ITGB1BP1,3559,-4.83988
TMEM59L,5028,-4.838636
MYH7,1746,-4.836519
PIFO,8700,-4.834906
RSPO3,8017,-4.833626
TSPAN4,2852,-4.832725
HPCAL1,1274,-4.83224
B4GALT3,3322,-4.831562
WSB2,6477,-4.82877
MRAP2,8382,-4.824867
EGR4,802,-4.82225
NISCH,4503,-4.820751
CTH,623,-4.820646
NXPH1,5502,-4.820313
MCHR2,7944,-4.817092
COL20A1,6828,-4.815697
OPTN,3996,-4.81137
WNT7A,3001,-4.806697
COL11A1,558,-4.802806
HACD4,9844,-4.800688
CDK5,448,-4.796343
ACTN2,36,-4.794836
PODXL2,5524,-4.790061
PLXNA1,2077,-4.788544
GRINA,1146,-4.785601
PDK3,1985,-4.780702
SUV39H1,2728,-4.779823
FAM131A,8755,-4.779523
FABP6,891,-4.779211
B3GALNT1,3324,-4.776781
WTAP,3714,-4.772903
RHOJ,6712,-4.772107
SRR,6971,-4.766481
PHKG2,2026,-4.764387
