gene,id,z
LY6H,1580,-15.983455
RBP4,2360,-15.243162
PRKCD,2170,-14.728245
NOV,1853,-14.425241
BAIAP3,3428,-14.396157
SYT17,5842,-14.215154
CHCHD6,7891,-14.15178
PCDH20,7135,-13.85315
KLHDC8B,9241,-13.852511
PTGER3,2257,-13.493051
EFCAB1,7338,-13.334174
DACH2,8541,-13.208207
PCBD1,1944,-13.181831
SLC7A4,2598,-13.178442
KCNG1,1453,-12.956311
AMIGO2,9684,-12.809163
ASCL2,190,-12.805086
PPEF1,2119,-12.696414
IFT22,7113,-12.647047
RAB36,3722,-12.564598
FAM149A,5060,-12.469392
KLK7,2214,-12.340992
FAM110C,9932,-12.319148
LARGE1,3531,-12.195245
CRIP2,591,-12.161951
C11orf97,9940,-12.161906
TMSB10,3515,-12.141047
PNCK,8831,-12.002438
SLIT1,2617,-11.99911
DTNBP1,7802,-11.993916
WDR86,9693,-11.973238
RIPOR2,3800,-11.968025
CTXN1,9862,-11.910894
CPNE7,5294,-11.899115
LINC01140,9626,-11.798053
CCKBR,391,-11.79405
HTR7,1318,-11.750838
STUM,9726,-11.738613
FREM3,9149,-11.730209
ARHGDIG,179,-11.71688
SSTR1,2699,-11.694554
PPP4R4,6865,-11.692871
BATF3,6309,-11.673219
GRIN3A,8523,-11.617401
CD6,402,-11.575834
ARHGDIA,177,-11.555234
NUDT14,9430,-11.508517
KIRREL2,7803,-11.489517
SCARA5,9586,-11.469302
GABRA5,997,-11.467291
SMARCD3,2626,-11.455968
GSG1,7705,-11.446686
PLAC9,9293,-11.395121
GGCT,7221,-11.36466
EFNB3,793,-11.288806
TRIM36,6312,-11.253387
PNMT,2091,-11.220413
LYZL4,8754,-11.174078
RASGEF1C,9418,-11.173155
HHIPL1,7914,-11.14919
C1QL3,9810,-11.139384
GATB,1997,-11.122875
SPRN,9914,-11.111997
SFTPD,2545,-11.098717
GPR160,5252,-11.077989
DYDC2,7908,-11.048459
XYLT1,7022,-10.994169
SSSCA1,4201,-10.97843
GNG4,1085,-10.939326
B9D1,5271,-10.855733
HBQ1,1208,-10.848325
MCUB,6111,-10.826262
RTP1,8763,-10.821034
RAB27B,2315,-10.806039
SLC16A2,2608,-10.716664
TFPT,5443,-10.635596
PKIA,2164,-10.597305
HSPB3,3443,-10.587982
SMAD3,1589,-10.582084
RIIAD1,9531,-10.534964
MMD,4931,-10.533315
NUDT4,4488,-10.498523
KCNA3,1443,-10.49059
PRSS35,9156,-10.488842
MESP1,6481,-10.467364
RHBDD2,6719,-10.422585
RRP7A,5351,-10.417979
GABRA3,995,-10.398874
CD83,3569,-10.381989
CYB5R1,5828,-10.355039
PPM1M,8764,-10.347776
NR4A3,3119,-10.342764
MUM1L1,8826,-10.334523
SCN3B,6438,-10.331258
GYPE,1191,-10.319974
C5orf49,8782,-10.316144
ST20,9828,-10.3093
VSTM2L,8703,-10.301694
